"psy_item","item","item_full","description","language","type","psy_option","auth"
"iRL_therm_9:9","therm_item9_concepts","Heater is On","therm","iRL","concept","qual-pre","eff-ind"
"iRL_therm_9:10","therm_item9_concepts","Heater is On","therm","iRL","concept","None","eff-ind"
"iRL_therm_10:1","therm_item10_concepts","Heater was previously on","therm","iRL","concept","actor","eff-pre"
"iRL_therm_10:2","therm_item10_concepts","Heater was previously on","therm","iRL","concept","goal","eff-pre"
"iRL_therm_10:3","therm_item10_concepts","Heater was previously on","therm","iRL","concept","task","eff-pre"
"iRL_therm_10:4","therm_item10_concepts","Heater was previously on","therm","iRL","concept","eff-sat","eff-pre"
"iRL_therm_10:5","therm_item10_concepts","Heater was previously on","therm","iRL","concept","eff-nonsat","eff-pre"
"iRL_therm_10:6","therm_item10_concepts","Heater was previously on","therm","iRL","concept","eff-pre","eff-pre"
"iRL_therm_10:7","therm_item10_concepts","Heater was previously on","therm","iRL","concept","eff-ind","eff-pre"
"iRL_therm_10:8","therm_item10_concepts","Heater was previously on","therm","iRL","concept","qual","eff-pre"
"iRL_therm_10:9","therm_item10_concepts","Heater was previously on","therm","iRL","concept","qual-pre","eff-pre"
"iRL_therm_10:10","therm_item10_concepts","Heater was previously on","therm","iRL","concept","None","eff-pre"
"iRL_therm_11:1","therm_item11_concepts","Minimize cost","therm","iRL","concept","actor","qual"
"iRL_therm_11:2","therm_item11_concepts","Minimize cost","therm","iRL","concept","goal","qual"
"iRL_therm_11:3","therm_item11_concepts","Minimize cost","therm","iRL","concept","task","qual"
"iRL_therm_11:4","therm_item11_concepts","Minimize cost","therm","iRL","concept","eff-sat","qual"
"iRL_therm_11:5","therm_item11_concepts","Minimize cost","therm","iRL","concept","eff-nonsat","qual"
"iRL_therm_11:6","therm_item11_concepts","Minimize cost","therm","iRL","concept","eff-pre","qual"
"iRL_therm_11:7","therm_item11_concepts","Minimize cost","therm","iRL","concept","eff-ind","qual"
"iRL_therm_11:8","therm_item11_concepts","Minimize cost","therm","iRL","concept","qual","qual"
"iRL_therm_11:9","therm_item11_concepts","Minimize cost","therm","iRL","concept","qual-pre","qual"
"iRL_therm_11:10","therm_item11_concepts","Minimize cost","therm","iRL","concept","None","qual"
"iRL_therm_12:1","therm_item12_concepts","Maximize comfort","therm","iRL","concept","actor","qual"
"iRL_therm_12:2","therm_item12_concepts","Maximize comfort","therm","iRL","concept","goal","qual"
"iRL_therm_12:3","therm_item12_concepts","Maximize comfort","therm","iRL","concept","task","qual"
"iRL_therm_12:4","therm_item12_concepts","Maximize comfort","therm","iRL","concept","eff-sat","qual"
"iRL_therm_12:5","therm_item12_concepts","Maximize comfort","therm","iRL","concept","eff-nonsat","qual"
"iRL_therm_12:6","therm_item12_concepts","Maximize comfort","therm","iRL","concept","eff-pre","qual"
"iRL_therm_12:7","therm_item12_concepts","Maximize comfort","therm","iRL","concept","eff-ind","qual"
"iRL_therm_12:8","therm_item12_concepts","Maximize comfort","therm","iRL","concept","qual","qual"
"iRL_therm_12:9","therm_item12_concepts","Maximize comfort","therm","iRL","concept","qual-pre","qual"
"iRL_therm_12:10","therm_item12_concepts","Maximize comfort","therm","iRL","concept","None","qual"
"iRL_therm_13:1","therm_item13_concepts","Maintain Ideal Temperature","therm","iRL","concept","actor","qual"
"iRL_therm_13:2","therm_item13_concepts","Maintain Ideal Temperature","therm","iRL","concept","goal","qual"
"iRL_therm_13:3","therm_item13_concepts","Maintain Ideal Temperature","therm","iRL","concept","task","qual"
"iRL_therm_13:4","therm_item13_concepts","Maintain Ideal Temperature","therm","iRL","concept","eff-sat","qual"
"iRL_therm_13:5","therm_item13_concepts","Maintain Ideal Temperature","therm","iRL","concept","eff-nonsat","qual"
"iRL_therm_13:6","therm_item13_concepts","Maintain Ideal Temperature","therm","iRL","concept","eff-pre","qual"
"iRL_therm_13:7","therm_item13_concepts","Maintain Ideal Temperature","therm","iRL","concept","eff-ind","qual"
"iRL_therm_13:8","therm_item13_concepts","Maintain Ideal Temperature","therm","iRL","concept","qual","qual"
"iRL_therm_13:9","therm_item13_concepts","Maintain Ideal Temperature","therm","iRL","concept","qual-pre","qual"
"iRL_therm_13:10","therm_item13_concepts","Maintain Ideal Temperature","therm","iRL","concept","None","qual"
"iRL_therm_14:1","therm_item14_concepts","Maintain Ideal Temperature (previous level)","therm","iRL","concept","actor","qual-pre"
"iRL_therm_14:2","therm_item14_concepts","Maintain Ideal Temperature (previous level)","therm","iRL","concept","goal","qual-pre"
"iRL_therm_14:3","therm_item14_concepts","Maintain Ideal Temperature (previous level)","therm","iRL","concept","task","qual-pre"
"iRL_therm_14:4","therm_item14_concepts","Maintain Ideal Temperature (previous level)","therm","iRL","concept","eff-sat","qual-pre"
"iRL_therm_14:5","therm_item14_concepts","Maintain Ideal Temperature (previous level)","therm","iRL","concept","eff-nonsat","qual-pre"
"iRL_therm_14:6","therm_item14_concepts","Maintain Ideal Temperature (previous level)","therm","iRL","concept","eff-pre","qual-pre"
"iRL_therm_14:7","therm_item14_concepts","Maintain Ideal Temperature (previous level)","therm","iRL","concept","eff-ind","qual-pre"
"iRL_therm_14:8","therm_item14_concepts","Maintain Ideal Temperature (previous level)","therm","iRL","concept","qual","qual-pre"
"iRL_therm_14:9","therm_item14_concepts","Maintain Ideal Temperature (previous level)","therm","iRL","concept","qual-pre","qual-pre"
"iRL_therm_14:10","therm_item14_concepts","Maintain Ideal Temperature (previous level)","therm","iRL","concept","None","qual-pre"
"iRL_therm_1:1","therm_item1_relationships","Signal Heater On __________ Maintain Optimal Room Temperature","therm","iRL","relationship","and","actor"
"iRL_therm_1:2","therm_item1_relationships","Signal Heater On __________ Maintain Optimal Room Temperature","therm","iRL","relationship","or","actor"
"iRL_therm_1:3","therm_item1_relationships","Signal Heater On __________ Maintain Optimal Room Temperature","therm","iRL","relationship","eff-link-det","actor"
"iRL_therm_1:4","therm_item1_relationships","Signal Heater On __________ Maintain Optimal Room Temperature","therm","iRL","relationship","eff-link-nondet","actor"
"iRL_therm_1:5","therm_item1_relationships","Signal Heater On __________ Maintain Optimal Room Temperature","therm","iRL","relationship","contr","actor"
